 0.150 0.152 0.155 0.157 0.160 0.162 0.165 0.168 0.172 0.175 0.178 0.182 0.185
 0.189 0.192 0.196 0.200 0.205 0.210 0.215 0.220 0.225 0.230 0.236 0.242 0.248
 0.255 0.262 0.269 0.276 0.283 0.277 0.272 0.266 0.261 0.256 0.251 0.246 0.240
 0.235 0.229 0.224 0.219 0.213 0.208 0.203 0.198 0.193 0.187 0.182 0.177 0.172
 0.167 0.162 0.157 0.152 0.147 0.142 0.137 0.132 0.127 0.122 0.117 0.113 0.108
 0.104 0.100 0.096 0.092 0.089 0.085 0.081 0.078 0.075 0.072 0.069 0.066 0.063
 0.061 0.058 0.055 0.053 0.051 0.049 0.047 0.045 0.043 0.042 0.040 0.039 0.037
 0.036 0.035 0.033 0.032 0.031 0.030 0.029 0.029 0.028 0.027 0.026 0.025 0.025
 0.024 0.024 0.024 0.023 0.023 0.022 0.022
